time	V(n001)
8.017503062265770e-002	1.648794e-001
8.025363192832188e-002	2.387896e-001
8.032565767116570e-002	3.063900e-001
8.042186803120832e-002	3.964383e-001
8.085823762595495e-002	7.991051e-001
8.132318046550462e-002	1.211462e+000
8.177633348500957e-002	1.588603e+000
8.262491925495985e-002	2.202916e+000
8.355481926935071e-002	2.696078e+000
8.402302394746684e-002	2.859800e+000
8.436870906620433e-002	2.941193e+000
8.470645576474289e-002	2.987252e+000
8.512616288177952e-002	2.997644e+000
8.550541260490015e-002	2.962263e+000
8.612164005101795e-002	2.815669e+000
8.711189314708386e-002	2.363578e+000
8.864360326359595e-002	1.240035e+000
8.941122592938612e-002	5.517477e-001
8.954581763451755e-002	4.266058e-001
8.981500104478041e-002	1.742593e-001
8.991787733253849e-002	7.739020e-002
8.997411773287944e-002	2.439319e-002
9.000525083889674e-002	-4.948797e-003
9.002720728267323e-002	-2.564195e-002
9.004849193797325e-002	-4.570081e-002
9.007150407494458e-002	-6.738534e-002
9.009543184066171e-002	-8.992892e-002
9.012036452934079e-002	-1.134139e-001
9.014588062550763e-002	-1.374411e-001
9.017190144771299e-002	-1.619346e-001
9.019841287503809e-002	-1.868787e-001
9.022557521337772e-002	-2.124217e-001
9.025376692331985e-002	-2.389164e-001
9.028374180622484e-002	-2.670663e-001
9.031701244036386e-002	-2.982835e-001
9.035707599860435e-002	-3.358308e-001
9.041388732548371e-002	-3.889814e-001
9.049983819487568e-002	-4.691528e-001
9.059065139754020e-002	-5.534868e-001
9.069859038090400e-002	-6.531331e-001
9.085715851402212e-002	-7.981248e-001
9.109728288671408e-002	-1.013804e+000
9.146957655004132e-002	-1.336362e+000
9.205514248799364e-002	-1.805134e+000
9.293064053551524e-002	-2.388054e+000
9.357995294024477e-002	-2.706383e+000
9.433311161167965e-002	-2.934399e+000
9.466394277230728e-002	-2.983296e+000
9.497036296525058e-002	-2.999870e+000
9.528898419433057e-002	-2.987645e+000
9.577030899036880e-002	-2.912582e+000
9.654959807185340e-002	-2.651474e+000
9.778523450771216e-002	-1.922974e+000
9.926980405007285e-002	-6.821735e-001
9.934259145173503e-002	-6.151975e-001
9.948816625505941e-002	-4.803159e-001
9.957852500285405e-002	-3.960711e-001
9.964240514490033e-002	-3.363167e-001
9.969552034545760e-002	-2.865279e-001
9.975567620393482e-002	-2.300437e-001
9.977303775699618e-002	-2.137257e-001
9.979226526323530e-002	-1.956464e-001
9.981260185479646e-002	-1.765166e-001
9.983221593534196e-002	-1.580595e-001
9.985292565006076e-002	-1.385650e-001
9.987221790179729e-002	-1.203994e-001
9.989431762237901e-002	-9.958500e-002
9.991862267835584e-002	-7.668796e-002
9.994845303537298e-002	-4.857974e-002
9.997933467322483e-002	-1.947648e-002
1.000114986769284e-001	1.083722e-002
1.000408589986662e-001	3.850764e-002
1.000714072277310e-001	6.729408e-002
1.001057011013538e-001	9.960263e-002
1.001526864354894e-001	1.438484e-001
1.002280413032505e-001	2.147401e-001
1.003035322029627e-001	2.856390e-001
1.003872964516058e-001	3.641183e-001
1.007434304870327e-001	6.943141e-001
1.012046736499244e-001	1.108468e+000
1.016705078717148e-001	1.503134e+000
1.026021763152955e-001	2.188309e+000
1.035205799340537e-001	2.681769e+000
1.041219758318100e-001	2.886591e+000
1.044429077012924e-001	2.954171e+000
1.047961648721261e-001	2.993851e+000
1.052241507464076e-001	2.992565e+000
1.056648724439917e-001	2.934794e+000
1.063795930514289e-001	2.722614e+000
1.075195324636740e-001	2.108263e+000
1.086398392007990e-001	1.243265e+000
1.093258755955019e-001	6.306085e-001
1.096961722390209e-001	2.859163e-001
1.097338718756859e-001	2.505277e-001
1.098092711490161e-001	1.796502e-001
1.098682068792242e-001	1.241766e-001
1.099159859805323e-001	7.917216e-002
1.099488163260393e-001	4.823740e-002
1.099749104794006e-001	2.364607e-002
1.099967303425336e-001	3.081579e-003
1.100175134161722e-001	-1.650592e-002
1.100367137491217e-001	-3.460113e-002
1.100581568760798e-001	-5.480852e-002
1.100813223742516e-001	-7.663620e-002
1.101056213876652e-001	-9.952755e-002
1.101307880510912e-001	-1.232302e-001
1.101565069876673e-001	-1.474449e-001
1.101827173905814e-001	-1.721125e-001
1.102094644898589e-001	-1.972732e-001
1.102369867252612e-001	-2.231484e-001
1.102657880717097e-001	-2.502084e-001
1.102968658089454e-001	-2.793840e-001
1.103322781875643e-001	-3.125964e-001
1.103772953480283e-001	-3.547604e-001
1.104508963075660e-001	-4.235400e-001
1.105397528044089e-001	-5.062707e-001
1.106333906263299e-001	-5.930250e-001
1.107603888409120e-001	-7.098531e-001
1.109507584461629e-001	-8.828042e-001
1.112399587051621e-001	-1.139301e+000
1.116953823515905e-001	-1.523377e+000
1.124019792650435e-001	-2.055001e+000
1.129901614050072e-001	-2.421589e+000
1.136301714903569e-001	-2.726466e+000
1.140779811185568e-001	-2.875022e+000
1.144098760964015e-001	-2.948592e+000
1.147561577104088e-001	-2.991202e+000
1.152092185339432e-001	-2.993522e+000
1.156405797844437e-001	-2.939456e+000
1.163403566895656e-001	-2.737937e+000
1.174578593814748e-001	-2.149218e+000
1.188212146490593e-001	-1.085759e+000
1.192232166567473e-001	-7.248563e-001
1.194855247125727e-001	-4.827732e-001
1.195973954051879e-001	-3.784350e-001
1.196699185446561e-001	-3.105372e-001
1.197276537134516e-001	-2.563673e-001
1.197627457379551e-001	-2.233999e-001
1.197844962988877e-001	-2.029523e-001
1.198092468136069e-001	-1.796731e-001
1.198336927582926e-001	-1.566696e-001
1.198593013056191e-001	-1.325622e-001
1.198899275214148e-001	-1.037202e-001
1.199262911097173e-001	-6.946278e-002
1.199573716888766e-001	-4.017504e-002
1.199902867391748e-001	-9.154518e-003
1.200224279992824e-001	2.113772e-002
1.200518059230359e-001	4.882378e-002
1.200833390162403e-001	7.853620e-002
1.201207915464361e-001	1.138160e-001
1.201774953125608e-001	1.671987e-001
1.202564497082685e-001	2.414368e-001
1.203284718517501e-001	3.090283e-001
1.204261215494841e-001	4.004116e-001
1.208707294013396e-001	8.104468e-001
1.213373252510308e-001	1.223646e+000
1.217916427082777e-001	1.600824e+000
1.226344262830633e-001	2.208988e+000
1.235645941332234e-001	2.700106e+000
1.240301370109472e-001	2.861819e+000
1.243740311473858e-001	2.942178e+000
1.247128709929802e-001	2.987803e+000
1.251340840755323e-001	2.997339e+000
1.255183066721268e-001	2.960317e+000
1.261425311727390e-001	2.808813e+000
1.271450890640830e-001	2.344182e+000
1.285037248495202e-001	1.358843e+000
1.293052260886597e-001	6.496220e-001
1.294407371733672e-001	5.243851e-001
1.297117593427822e-001	2.712893e-001
1.298483263643799e-001	1.428949e-001
1.299259833630205e-001	6.975275e-002
1.299680687276018e-001	3.009401e-002
1.299955687677324e-001	4.176337e-003
1.300165193684550e-001	-1.556907e-002
1.300370323070884e-001	-3.490134e-002
1.300583230863969e-001	-5.496514e-002
1.300817137194236e-001	-7.700491e-002
1.301060090747757e-001	-9.989273e-002
1.301312059925794e-001	-1.236237e-001
1.301569357860866e-001	-1.478486e-001
1.301831544938016e-001	-1.725238e-001
1.302099131405398e-001	-1.976951e-001
1.302374512519626e-001	-2.235850e-001
1.302662805345005e-001	-2.506709e-001
1.302974089823833e-001	-2.798937e-001
1.303329218677820e-001	-3.131997e-001
1.303781844682974e-001	-3.555925e-001
1.304527739664468e-001	-4.252919e-001
1.305422211369498e-001	-5.085635e-001
1.306361224610153e-001	-5.955486e-001
1.307643699804517e-001	-7.134981e-001
1.309568726074665e-001	-8.883098e-001
1.312493117247252e-001	-1.147451e+000
1.317101693166438e-001	-1.535366e+000
1.324243632484088e-001	-2.070319e+000
1.330166710950775e-001	-2.436253e+000
1.336616028731005e-001	-2.738692e+000
1.341009879831697e-001	-2.881141e+000
1.344271415943069e-001	-2.951548e+000
1.347770555750572e-001	-2.992645e+000
1.352170211869339e-001	-2.993030e+000
1.356532740032428e-001	-2.937041e+000
1.363608627548650e-001	-2.729981e+000
1.374901072410798e-001	-2.127903e+000
1.388347275057788e-001	-1.073877e+000
1.392340911477441e-001	-7.149068e-001
1.394926709881372e-001	-4.761245e-001
1.396021268422141e-001	-3.740109e-001
1.396732733827040e-001	-3.073922e-001
1.397345329536434e-001	-2.499069e-001
1.397668992660215e-001	-2.194960e-001
1.397884124896049e-001	-1.992697e-001
1.398123668234423e-001	-1.767377e-001
1.398367778907994e-001	-1.537658e-001
1.398625379925132e-001	-1.295146e-001
1.398934239301046e-001	-1.004268e-001
1.399301937108244e-001	-6.578560e-002
1.399617056053723e-001	-3.609075e-002
1.399946197664221e-001	-5.070748e-003
1.400267820438844e-001	2.524118e-002
1.400571304176920e-001	5.384126e-002
1.400889385199665e-001	8.381167e-002
1.401284078930225e-001	1.209888e-001
1.401915875450457e-001	1.804580e-001
1.402644168380279e-001	2.489205e-001
1.403404007986483e-001	3.202091e-001
1.404408475264389e-001	4.141620e-001
1.406080520839657e-001	5.695966e-001
1.409290512066643e-001	8.632311e-001
1.414040428972826e-001	1.280784e+000
1.420979327861994e-001	1.837181e+000
1.430394951891365e-001	2.448743e+000
1.437163874409583e-001	2.759361e+000
1.441412015239948e-001	2.891473e+000
1.444573630130999e-001	2.956513e+000
1.448137069277453e-001	2.994864e+000
1.452306915067831e-001	2.992125e+000
1.456755123999260e-001	2.932698e+000
1.463967706527737e-001	2.715776e+000
1.475464928507703e-001	2.090111e+000
1.486512959925394e-001	1.233430e+000
1.493310185121874e-001	6.258689e-001
1.496974740476635e-001	2.846949e-001
1.497348387546235e-001	2.496196e-001
1.498095681685436e-001	1.793707e-001
1.498687745671788e-001	1.236420e-001
1.499165270356556e-001	7.866240e-002
1.499493134170953e-001	4.776896e-002
1.499753479262699e-001	2.323380e-002
1.499971200894908e-001	2.714251e-003
1.500178713561678e-001	-1.684327e-002
1.500370516667614e-001	-3.491959e-002
1.500585585902813e-001	-5.518706e-002
1.500817335459289e-001	-7.702359e-002
1.501060558569435e-001	-9.993680e-002
1.501312321012950e-001	-1.236483e-001
1.501569603325730e-001	-1.478717e-001
1.501831791412705e-001	-1.725470e-001
1.502099371039291e-001	-1.977177e-001
1.502374763625057e-001	-2.236086e-001
1.502663069131023e-001	-2.506956e-001
1.502974381528424e-001	-2.799211e-001
1.503329564395798e-001	-3.132321e-001
1.503782323242230e-001	-3.556373e-001
1.504528758690290e-001	-4.253869e-001
1.505423557442776e-001	-5.086886e-001
1.506362716349308e-001	-5.956864e-001
1.507645875478727e-001	-7.136973e-001
1.509572070919644e-001	-8.886110e-001
1.512498233656241e-001	-1.147897e+000
1.517109781116389e-001	-1.536021e+000
1.524255863764959e-001	-2.071154e+000
1.530181186499294e-001	-2.437049e+000
1.536633191324607e-001	-2.739352e+000
1.541022456090817e-001	-2.881471e+000
1.544280859043080e-001	-2.951707e+000
1.547781994257249e-001	-2.992720e+000
1.552174480881256e-001	-2.993003e+000
1.556539685099586e-001	-2.936908e+000
1.563619844654992e-001	-2.729542e+000
1.574918702560536e-001	-2.126731e+000
1.588372939806107e-001	-1.071618e+000
1.592363855146925e-001	-7.128065e-001
1.594944078831957e-001	-4.745082e-001
1.596033232753279e-001	-3.728921e-001
1.596741697909151e-001	-3.065517e-001
1.597365294147751e-001	-2.480317e-001
1.597682318702202e-001	-2.182434e-001
1.597896917714748e-001	-1.980667e-001
1.598133993953630e-001	-1.757662e-001
1.598378307520054e-001	-1.527748e-001
1.598636812525595e-001	-1.284381e-001
1.598947057254425e-001	-9.921942e-002
1.599316888261616e-001	-6.437682e-002
1.599631486893919e-001	-3.473077e-002
1.599962990913406e-001	-3.488024e-003
1.600287893675273e-001	2.713297e-002
1.600597820372587e-001	5.633993e-002
1.600917492002584e-001	8.645961e-002
1.601323022897271e-001	1.246561e-001
1.601994747885950e-001	1.878775e-001
